img_name,img_path,pred_label,confidence,uncertainty
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__59_shocking_pink.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__59_shocking_pink.jpg,swatch,0.7574164867401123,0.2425835132598877
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__104_bright_raspberry.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__104_bright_raspberry.jpg,swatch,0.7967561483383179,0.20324385166168213
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__40_light_rose.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__40_light_rose.jpg,swatch,0.8023292422294617,0.19767075777053833
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__172_light_mauve.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__172_light_mauve.jpg,swatch,0.835882306098938,0.164117693901062
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__182_light_brown.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__182_light_brown.jpg,closed,0.8870302438735962,0.11296975612640381
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__142_sweet_berry.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__142_sweet_berry.jpg,closed,0.9078078269958496,0.09219217300415039
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__47_daring_red.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__47_daring_red.jpg,closed,0.9158822894096375,0.08411771059036255
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__48_soft_rose.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__48_soft_rose.jpg,closed,0.9201868176460266,0.07981318235397339
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__154_intense_caramel.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__154_intense_caramel.jpg,closed,0.9237099289894104,0.0762900710105896
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__166_timeless_beige.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__166_timeless_beige.jpg,swatch,0.9260258674621582,0.0739741325378418
lipstick__juice_beauty__phytopigments_liquid_lip__15_blythe.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__juice_beauty__phytopigments_liquid_lip__15_blythe.jpg,closed,0.9565812349319458,0.0434187650680542
lipstick__revlon__ultra_hd_lip_mousse_hyper_matte__subsaharan_855.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__revlon__ultra_hd_lip_mousse_hyper_matte__subsaharan_855.jpg,swatch,0.9869958758354187,0.013004124164581299
lipstick__bareminerals__gen_nude_matte_liquid_lipcolor__smooch.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__bareminerals__gen_nude_matte_liquid_lipcolor__smooch.jpg,closed,0.9879174828529358,0.012082517147064209
lipstick__bareminerals__gen_nude_matte_liquid_lipcolor__infamous.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__bareminerals__gen_nude_matte_liquid_lipcolor__infamous.jpg,closed,0.9893752336502075,0.01062476634979248
lipstick__revlon__ultra_hd_lip_mousse_hyper_matte__rocky_plum_845.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__revlon__ultra_hd_lip_mousse_hyper_matte__rocky_plum_845.jpg,swatch,0.9909420609474182,0.009057939052581787
lipstick__revlon__ultra_hd_lip_mousse_hyper_matte__sunset_810.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__revlon__ultra_hd_lip_mousse_hyper_matte__sunset_810.jpg,swatch,0.9920331835746765,0.007966816425323486
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__112_chic_rosewood.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__112_chic_rosewood.jpg,closed,0.9930270314216614,0.006972968578338623
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__397_merry_rose.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__397_merry_rose.jpg,closed,0.9934369921684265,0.006563007831573486
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__69_tender_beige.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__69_tender_beige.jpg,closed,0.993980884552002,0.006019115447998047
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__184_intense_brown.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__184_intense_brown.jpg,closed,0.9942694902420044,0.0057305097579956055
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__126_radiant_pink.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__126_radiant_pink.jpg,closed,0.9945002794265747,0.005499720573425293
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__124_soft_candy.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__124_soft_candy.jpg,closed,0.9949904084205627,0.005009591579437256
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__156_intense_rosewood.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__156_intense_rosewood.jpg,closed,0.9952344298362732,0.004765570163726807
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__122_soft_coral.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__122_soft_coral.jpg,closed,0.9955741167068481,0.0044258832931518555
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__54_strawberry_red.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__54_strawberry_red.jpg,closed,0.9957029223442078,0.004297077655792236
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__43_sensual_rose.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__43_sensual_rose.jpg,closed,0.9957309365272522,0.004269063472747803
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__57_darling_pink.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__57_darling_pink.jpg,closed,0.9964042901992798,0.003595709800720215
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__180_passionate_red.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__180_passionate_red.jpg,closed,0.9966188669204712,0.0033811330795288086
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__176_burning_red.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__176_burning_red.jpg,closed,0.9967889785766602,0.0032110214233398438
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__158_intense_blueberry.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__158_intense_blueberry.jpg,closed,0.9968075752258301,0.003192424774169922
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__49_ever_red.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__49_ever_red.jpg,closed,0.9968819618225098,0.0031180381774902344
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__102_milky_blueberry.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__102_milky_blueberry.jpg,closed,0.9973450303077698,0.0026549696922302246
lipstick__bareminerals__gen_nude_matte_liquid_lipcolor__luxe.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__bareminerals__gen_nude_matte_liquid_lipcolor__luxe.jpg,liquid,0.9980377554893494,0.0019622445106506348
