category,joined,brand,product,shade,shade_description_original,parent_color,img_url
lipstick,chanel rouge allure laque ultrawear shine liquid lip colour 60 inflexible,chanel,rouge allure laque ultrawear shine liquid lip colour,60 inflexible,metallic bronze,bronze,https://cdn11.bigcommerce.com/s-mqq1i1xa2c/images/stencil/640w/products/115494/5311097/841661_60_INFLEXIBLE_5__25073.1700568582.jpg?c=1
lipstick,chanel rouge allure luminous intense lip colour 211 subtile,chanel,rouge allure luminous intense lip colour,211 subtile,reddish beige,red beige,https://media.ulta.com/i/ulta/2600329_sm?w=1080&h=1080&fmt=auto
lipstick,charlotte tilbury limitless lucky lips everlasting blossom,charlotte tilbury,limitless lucky lips,everlasting blossom,dusty rose,rose,https://images.ctfassets.net/wlke2cbybljx/56p09CnGsgT6DyVNXRRxIk/dfd40737412f4870288647c5eab6fe1e/Limitless-Lips-everlasting-blossom.png?w=660&h=660&fit=fill&fm=jpg&bg=
lipstick,charlotte tilbury tinted love blushed rose,charlotte tilbury,tinted love,blushed rose,pinky-rose,pink rose,https://images.ctfassets.net/wlke2cbybljx/7lqOwS6EFAXEpfAsINi19z/cc64f760995a14bec977ec1578a1dfd7/Blushed-Rose-Open-Tinted-Love-Swatch.png?w=1000&h=1000&fit=fill&fm=jpg&bg=
lipstick,code8 beauty matte velour lipstick lima,code8 beauty,matte velour lipstick,lima,mauve-nude,mauve nude,https://static.thcdn.com/productimg/960/960/15212857-1495125040289942.jpg
lipstick,colourpop blur lux lipstick still crazy,colourpop,blur lux lipstick,still crazy,mauve pink,mauve pink,https://colourpop.com/cdn/shop/products/Still-Crazy-Creme-Lux-Lipstick-swatch.jpg?v=1694556119&width=620
lipstick,colourpop fresh kiss hydrating lip creme makeout,colourpop,fresh kiss hydrating lip creme,makeout,soft peachy pink,peach pink,https://colourpop.com/cdn/shop/files/LipCreme-Makeout_n_1.jpg?v=1715125051&width=620
lipstick,colourpop lippie stix brink,colourpop,lippie stix,brink,matte terracotta rose,terracotta rose,https://media.ulta.com/i/ulta/2550435_sm?w=1080&h=1080&fmt=auto
lipstick,colourpop lippie stix skywalking,colourpop,lippie stix,skywalking,vibrant cool toned red,red,https://colourpop.com/cdn/shop/products/6896063381586-Skywalking-LippieStix-Skywalking_n-2.jpg?v=1668575648&width=620
lipstick,colourpop lippie stix topanga,colourpop,lippie stix,topanga,matte dusty coral,coral,https://target.scene7.com/is/image/Target/GUEST_e69abc37-f06a-4655-a525-42df74bbaf97?wid=1200&hei=1200&qlt=80&fmt=webp
lipstick,colourpop lippie stix who run this,colourpop,lippie stix,who run this,matte vibrant rusty red,red,https://colourpop.com/cdn/shop/products/6894137868370-Who-Run-This-LippieStix-WhoRunThis_n-1.jpg?v=1668574846&width=620
lipstick,colourpop lux liquid lip genie,colourpop,lux liquid lip,genie,warm pink,pink,https://colourpop.com/cdn/shop/files/Genie-Lux-Liquid-Lipstick-With-Cap.jpg?v=1689886417&width=620
lipstick,colourpop ultra blotted lip cypress chill,colourpop,ultra blotted lip,cypress chill,bricky rose,brick rose,"https://images.ulta.com/is/image/Ulta/2561647?id=DJPax0&fmt=jpg&fit=constrain,1&wid=55&hei=359&op_sharpen=1&resMode=bilin"
lipstick,covergirl outlast forever velvet pigment matte lipstick 250 velvet waves,covergirl,outlast forever velvet pigment matte lipstick,250 velvet waves,universal red,red,https://media.ulta.com/i/ulta/2635294?w=1080&h=1080&fmt=auto
lipstick,covergirl outlast lipstain 05 all star,covergirl,outlast lipstain,05 all star,dark red,red,https://media.ulta.com/i/ulta/2619919?w=1080&h=1080&fmt=auto
lipstick,ctzn cosmetics code red lipstick pula,ctzn cosmetics,code red lipstick,pula,crimson red with plum undertones,plum crimson red,https://m.media-amazon.com/images/I/61pMXZAxVVL._SX679_.jpg
lipstick,ctzn cosmetics nudiversal lip duo capri,ctzn cosmetics,nudiversal lip duo,capri,warm pink with a peach undertone,peach pink,https://m.media-amazon.com/images/I/51uwmUNE3wL._SX679_.jpg
lipstick,dear dahlia lip paradise sensual lip glow g104 felicia,dear dahlia,lip paradise sensual lip glow,g104 felicia,soft rosy fig,rose fig,https://deardahlia.com/cdn/shop/files/texture_FELICIA.png?v=1708324642&width=1500
lipstick,dear dahlia lip paradise sensual lip glow g105 isabelle,dear dahlia,lip paradise sensual lip glow,g105 isabelle,baby rose,rose,https://deardahlia.com/cdn/shop/files/texture_ISABELLE.png?v=1708324642&width=1500
lipstick,dear dahlia lip paradise sensual lip glow g108 hazle,dear dahlia,lip paradise sensual lip glow,g108 hazle,fig beige,fig beige,https://deardahlia.com/cdn/shop/files/texture_HAZLE.png?v=1708324642&width=1500
lipstick,dior addict lip glow balm 031 strawberry,dior,addict lip glow balm,031 strawberry,strawberry red cool undertone,strawberry red,https://www.sephora.com/productimages/sku/s2830545-main-zoom.jpg?imwidth=1224
lipstick,dior addict lip glow butter 103 toffee,dior,addict lip glow butter,103 toffee,a nude beige,nude beige,https://media.ulta.com/i/ulta/2639605_sm?w=1080&h=1080&fmt=auto
lipstick,dior rouge ultra care liquid lipstick 855 sensual,dior,rouge ultra care liquid lipstick,855 sensual,scarlet red satin,scarlet red,https://www.sephora.com/productimages/sku/s2244242-main-zoom.jpg?imwidth=1000
lipstick,dior rouge ultra rouge lipstick 0 ultra light,dior,rouge ultra rouge lipstick,0 ultra light,pure white,white,https://www.sephora.com/productimages/sku/s2104743-main-zoom.jpg?imwidth=1000
lipstick,dose of colors liquid matte lipstick kiss of fire,dose of colors,liquid matte lipstick,kiss of fire,bright fiery red,red,"https://images.ulta.com/is/image/Ulta/2513354?id=xK2bc1&fmt=jpg&fit=constrain,1&wid=197&hei=361&op_sharpen=1&resMode=bilin"
lipstick,emilie heathe lip atelier public,emilie heathe,lip atelier,public,burnt orange with copper and bronze glitter,orange,https://emilieheathe.com/cdn/shop/products/Public_1_2000x.jpg?v=1640427875
lipstick,entice cosmetics lush matte liquid lipstick drape,entice cosmetics,lush matte liquid lipstick,drape,subtle light brown,brown,https://files.ekmcdn.com/203e94/images/lush-matte-liquid-lipstick-drape-37-1-p.jpg?w=650&h=650&v=F8E686E8-323B-4DFD-863A-FBA7E8AC71D9
lipstick,fenty beauty by rihanna poutsicle hydrating lip stain berry banger,fenty beauty by rihanna,poutsicle hydrating lip stain,berry banger,berry,berry,https://media.ulta.com/i/ulta/2595122_sm?w=1080&h=1080&fmt=auto
lipstick,freck beauty makeout club soft blur lipstick the moment,freck beauty,makeout club soft blur lipstick,the moment,muted rose,rose,https://www.sephora.com/productimages/sku/s2699114-av-11-zoom.jpg?imwidth=1224
lipstick,gerard cosmetics lipstick 1995,gerard cosmetics,lipstick,1995,neutral pink mauve,pink mauve,https://gerardcosmetics.com/cdn/shop/files/GC_LIPSTICKS_-_TEXTURE_SHOT_-_1995-572597.png?v=1724440472&width=1400
lipstick,givenchy le rose perfecto color lip balm 303 warming red,givenchy,le rose perfecto color lip balm,303 warming red,sheer cool red,red,https://www.sephora.com/productimages/sku/s2185569-main-zoom.jpg?imwidth=1000
lipstick,givenchy le rouge lipstick 102 beige plume,givenchy,le rouge lipstick,102 beige plume,peachy beige,peach beige,https://www.sephora.com/productimages/sku/s1497536-main-zoom.jpg?imwidth=1000
lipstick,givenchy le rouge lipstick 323 framboise couture,givenchy,le rouge lipstick,323 framboise couture,berry fuchsia,berry fuchsia,https://www.sephora.com/productimages/sku/s1967686-main-zoom.jpg?imwidth=1000
lipstick,givenchy le rouge lipstick 37 rouge graine,givenchy,le rouge lipstick,37 rouge graine,deep red,red,https://www.sephora.com/productimages/sku/s2391910-main-zoom.jpg?imwidth=1000
lipstick,honeybee gardens truly natural lipstick south beach,honeybee gardens,truly natural lipstick,south beach,m; bright coral with red undertones,red coral,https://m.media-amazon.com/images/I/71DNNsluDrL._SX679_.jpg
lipstick,hourglass phantom volumizing glossy lip balm impulse 130,hourglass,phantom volumizing glossy lip balm,impulse 130,deep red,red,https://media.ulta.com/i/ulta/2611470_sm?w=2000&h=2000&fmt=auto
lipstick,huda beauty demi matte cream liquid lipstick game changer,huda beauty,demi matte cream liquid lipstick,game changer,assertive and feminine coral,coral,https://www.sephora.com/productimages/sku/s2114213-main-zoom.jpg?imwidth=1000
lipstick,huda beauty demi matte cream liquid lipstick shero,huda beauty,demi matte cream liquid lipstick,shero,playful peachy nude,peach nude,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/xJTS2nQmDPn7m1uvUili/pub/KfHrH7teIvpMe8UAT54I.webp
lipstick,huda beauty original liquid matte lipstick bombshell,huda beauty,original liquid matte lipstick,bombshell,subtle pinkish nude,pink nude,https://www.sephora.com/productimages/sku/s2548840-av-30-zoom.jpg?imwidth=612
lipstick,huda beauty power bullet matte lipstick staycation,huda beauty,power bullet matte lipstick,staycation,muted beige with subtle pink (cool toned),pink beige,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/xJTS2nQmDPn7m1uvUili/pub/CD9hQioqNABjOAuBsQl3.webp
lipstick,iconic london cloud kiss matte lip mousse let it slip,iconic london,cloud kiss matte lip mousse,let it slip,brown nude,brown nude,https://media.ulta.com/i/ulta/2623751_sm?w=1080&h=1080&fmt=auto
lipstick,ilia balmy tint hydrating lip balm memoir,ilia,balmy tint hydrating lip balm,memoir,neutral mauve,mauve,https://media.ulta.com/i/ulta/2629327_sm?w=1080&h=1080&fmt=auto
lipstick,ilia color block lipstick tango,ilia,color block lipstick,tango,true/deep red,red,https://www.sephora.com/productimages/sku/s2128734-av-03-zoom.jpg?imwidth=1224
lipstick,inika organic lipstick nude pink,inika organic,lipstick,nude pink,creamy nude pink with neutral undertones,nude pink,https://us.inikaorganic.com/cdn/shop/files/5258a2631473bf899a80b044baed48aa6944518289aaf0f83fe6eb1dfe5d7873.jpg?v=1719810503&width=1100
lipstick,jason wu beauty honey fluff lip cream 01 adored,jason wu beauty,honey fluff lip cream,01 adored,rosewood nude,rosewood nude,https://jasonwubeauty.com/cdn/shop/files/HFLC-01.jpg?v=1720461673&width=1400
lipstick,jeffree star cosmetics velour liquid lipstick drug lord,jeffree star cosmetics,velour liquid lipstick,drug lord,white,white,https://cdn.shopify.com/s/files/1/0673/2291/products/32-2Liquid-Lipstick-Closed_Wand-DrugLord-WebResize.jpg?v=1633384967
lipstick,jones road beauty the lippie stick ruby,jones road beauty,the lippie stick,ruby,red wine,red wine,https://www.jonesroadbeauty.com/cdn/shop/files/lippie_ruby_4.jpg?v=1712086818&width=1000
lipstick,kosas weightless lip color lipstick thrillest,kosas,weightless lip color lipstick,thrillest,warm tone red orange,red orange,https://dy6g3i6a1660s.cloudfront.net/VWhZMj1InNZ_r9OA-1f6XQOEA4Q/p_550x550.jpg
lipstick,kvd beauty everlasting liquid lipstick dagger,kvd beauty,everlasting liquid lipstick,dagger,cobblestone gray,gray,https://www.sephora.com/productimages/sku/s1914522-main-zoom.jpg?imwidth=1000
lipstick,kvd beauty everlasting liquid lipstick echo,kvd beauty,everlasting liquid lipstick,echo,satin navy blue,navy blue,"https://images.ulta.com/is/image/Ulta/2570632?id=dKOao0&fmt=jpg&fit=constrain,1&wid=95&hei=361&op_sharpen=1&resMode=bilin"
lipstick,kvd beauty everlasting liquid lipstick witches,kvd beauty,everlasting liquid lipstick,witches,pitch black,black,https://www.sephora.com/productimages/sku/s1704931-main-zoom.jpg?imwidth=1000
lipstick,kylie cosmetics matte lip crayon realizing things,kylie cosmetics,matte lip crayon,realizing things,pink rose,pink rose,https://media.ulta.com/i/ulta/2616552_sm?w=1080&h=1080&fmt=auto
lipstick,kylie cosmetics matte lip kit no sleep,kylie cosmetics,matte lip kit,no sleep,neon pink red,pink red,https://kyliecosmetics.com/cdn/shop/products/f20yyi7l6osr96bfvrac_800x.jpg?v=1676341873
lipstick,laura mercier petal soft lipstick crayon 322 camille,laura mercier,petal soft lipstick crayon,322 camille,neutral pink,pink,https://media.ulta.com/i/ulta/2599318_sm?w=1080&h=1080&fmt=auto
lipstick,laura mercier petal soft lipstick crayon 340 elodie,laura mercier,petal soft lipstick crayon,340 elodie,dusty mauve,mauve,https://media.ulta.com/i/ulta/2599315_sm?w=1080&h=1080&fmt=auto
lipstick,lh cosmetics majestick mellow mauve,lh cosmetics,majestick,mellow mauve,A warm beige tone with a hint of pink,pink beige,https://lhcosmetics.com/cdn/shop/files/1_c33d51b6-977d-4371-aa22-b994c025e897.jpg?v=1715104489&width=1080
lipstick,lime crime matte velvetine lipstick beet it,lime crime,matte velvetine lipstick,beet it,deep berry-pink,berry pink,"https://images.ulta.com/is/image/Ulta/2520554?id=oLAau0&fmt=jpg&fit=constrain,1&wid=147&hei=361&op_sharpen=1&resMode=bilin"
lipstick,lime crime matte velvetine lipstick marshmallow,lime crime,matte velvetine lipstick,marshmallow,nude pink,nude pink,"https://images.ulta.com/is/image/Ulta/2520562?id=ax7aB2&fmt=jpg&fit=constrain,1&wid=147&hei=361&op_sharpen=1&resMode=bilin"
lipstick,lime crime matte velvetine lipstick new americana,lime crime,matte velvetine lipstick,new americana,flame red,red,https://m.media-amazon.com/images/I/61O1s5ILxgL._SX679_.jpg
lipstick,lime crime metallic velvetine lipstick eclipse,lime crime,metallic velvetine lipstick,eclipse,metallic black-red,black red,"https://images.ulta.com/is/image/Ulta/2520705?id=XYvaa0&fmt=jpg&fit=constrain,1&wid=147&hei=359&op_sharpen=1&resMode=bilin"
lipstick,lime crime plushies liquid lipstick sorbet,lime crime,plushies liquid lipstick,sorbet,fire red,red,"https://images.ulta.com/is/image/Ulta/2533315?id=cy0aT3&fmt=jpg&fit=constrain,1&wid=166&hei=360&op_sharpen=1&resMode=bilin"
lipstick,lipstick queen lipdulgence lip mousse sugar plum,lipstick queen,lipdulgence lip mousse,sugar plum,rich plum,plum,"https://images.ulta.com/is/image/Ulta/2548950?id=1Ioay2&fmt=jpg&fit=constrain,1&wid=176&hei=360&op_sharpen=1&resMode=bilin"
lipstick,lisa eldridge makeup rouge experience refillable lipstick 184 romy,lisa eldridge makeup,rouge experience refillable lipstick,184 romy,"muted, light cool heather",heather,https://us.lisaeldridge.com/cdn/shop/files/lips_rouge_ROMY_TEXTURE_1_800x_crop_top.jpg?v=1728578148
lipstick,mac cosmetics locked kiss 24hr lipstick posh,mac cosmetics,locked kiss 24hr lipstick,posh,warm brown,brown,https://media.ulta.com/i/ulta/2614349_sm?w=1080&h=1080&fmt=auto
lipstick,mac cosmetics matte lipstick act natural,mac cosmetics,matte lipstick,act natural,light greyed nude with gold undertones-matte,golden nude,"https://images.ulta.com/is/image/Ulta/2542751?id=L_Sav2&fmt=jpg&fit=constrain,1&wid=92&hei=361&op_sharpen=1&resMode=bilin"
lipstick,mac cosmetics matte lipstick taupe,mac cosmetics,matte lipstick,taupe,muted reddish- brown,red brown,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/xJTS2nQmDPn7m1uvUili/pub/jvp2dMaL3ffYaKktAg0l.webp
lipstick,mac cosmetics powder kiss liquid lipcolour impulsive,mac cosmetics,powder kiss liquid lipcolour,impulsive,mid-tone warm yellow nude,yellow nude,https://media.ulta.com/i/ulta/2578708_sm?w=1080&h=1080&fmt=auto
lipstick,make up for ever rouge artist lipstick 104 bold cinnamon,make up for ever,rouge artist lipstick,104 bold cinnamon,light neutral peach,peach,https://www.sephora.com/productimages/sku/s2312502-main-zoom.jpg?imwidth=1000
lipstick,makeup by mario ultra suede lipstick kristen,makeup by mario,ultra suede lipstick,kristen,bright berry,berry,https://www.sephora.com/productimages/sku/s2502425-av-15-zoom.jpg?imwidth=1224
lipstick,marie hunter lustrous lipstick ogden avenue,marie hunter,lustrous lipstick,ogden avenue,pink red with a cool undertone,pink red,https://images.squarespace-cdn.com/content/v1/570a7c769f726623e0c6d9fa/1606360901376-HE2I3UA0ICUWY3EWBYZ4/2D6C468D-CA34-4856-9BFD-B33987E477D8?format=750w
lipstick,maybelline superstay matte ink lip color dancer,maybelline,superstay matte ink lip color,dancer,warm brick red,brick red,https://media.ulta.com/i/ulta/2537835?w=1080&h=1080&fmt=auto
lipstick,maybelline superstay matte ink lip color meditator,maybelline,superstay matte ink lip color,meditator,coral nude,coral nude,https://m.media-amazon.com/images/I/715BRHHpbuL._SX679_.jpg
lipstick,melt cosmetics lipstick space cake,melt cosmetics,lipstick,space cake,blue based grey,blue gray,https://www.sephora.com/productimages/sku/s2229292-main-zoom.jpg?imwidth=1000
lipstick,melt cosmetics lipstick tomboy,melt cosmetics,lipstick,tomboy,ultra matte moss grey,moss gray,https://www.sephora.com/productimages/sku/s2229201-main-zoom.jpg?imwidth=1000
lipstick,melt cosmetics liquid lipstick death cherry,melt cosmetics,liquid lipstick,death cherry,deep cherry red,cherry red,https://www.sephora.com/productimages/sku/s2229011-main-zoom.jpg?imwidth=1000
lipstick,melt cosmetics liquid lipstick fuse,melt cosmetics,liquid lipstick,fuse,peachy beige neutral,peach beige,https://www.sephora.com/productimages/sku/s2228955-main-zoom.jpg?imwidth=1000
lipstick,melt cosmetics ultra matte lipstick 710,melt cosmetics,ultra matte lipstick,710,ultra matte dijon-mustard,dijon mustard,https://www.sephora.com/productimages/sku/s2229250-main-zoom.jpg?imwidth=1000
lipstick,melt cosmetics ultra matte lipstick bane,melt cosmetics,ultra matte lipstick,bane,pitch black,black,https://www.sephora.com/productimages/sku/s2236917-main-zoom.jpg?imwidth=1000
lipstick,merit signature lip lightweight matte lipstick equestrian,merit,signature lip lightweight matte lipstick,equestrian,warm brown,brown,https://www.sephora.com/productimages/sku/s2759843-av-10-zoom.jpg?imwidth=1224
lipstick,milani amore satin matte lip creme velvet,milani,amore satin matte lip creme,velvet,brown terracotta,brown terracotta,https://m.media-amazon.com/images/I/610R4WhLxQL._SX425_.jpg
lipstick,milani amore satin matte lip creme violet villain,milani,amore satin matte lip creme,violet villain,regal purple,purple,"https://images.ulta.com/is/image/Ulta/2555952?id=cS7bR2&fmt=jpg&fit=constrain,1&wid=142&hei=359&op_sharpen=1&resMode=bilin"
lipstick,milani stay put matte lip crayon 190 v cute,milani,stay put matte lip crayon,190 v cute,berry fuchsia,berry fuchsia,https://www.milanicosmetics.com/cdn/shop/files/1_StayPut_LipCrayon_190_PDP_PoductWithSwatch.png?v=1688598038
lipstick,mob beauty soft matte lipstick m94,mob beauty,soft matte lipstick,m94,mocha rose,mocha rose,https://mobbeauty.com/cdn/shop/products/MOB_MLS_SWATCH_M94.jpg?v=1705423935
lipstick,morphe cream lipstick rebound,morphe,cream lipstick,rebound,rosy mauve,rose mauve,https://eu.morphe.com/cdn/shop/products/0002_Lipstick_Cream_REBOUND_Smear_cf841417-0127-41fe-92a5-84d3e1821368_1400x@2x.jpg?v=1578680429
lipstick,morphe love bite lip stain melon nectar,morphe,love bite lip stain,melon nectar,magenta,magenta,https://media.ulta.com/i/ulta/2636607?w=1080&h=1080&fmt=auto
lipstick,morphe matte liquid lipstick peanut,morphe,matte liquid lipstick,peanut,spicy sienna,sienna,https://media.ulta.com/i/ulta/2535279_sm?w=1080&h=1080&fmt=auto
lipstick,nars afterglow lip balm wicked ways,nars,afterglow lip balm,wicked ways,sheer mulberry,mulberry,https://www.sephora.com/productimages/sku/s2296929-main-zoom.jpg?imwidth=612
lipstick,nars audacious lipstick greta,nars,audacious lipstick,greta,wild azalea,wild azalea,https://dy6g3i6a1660s.cloudfront.net/J707osX-N-TRp3MUcNpuEwINAg0/p_550x550.jpg
lipstick,nars audacious lipstick lea,nars,audacious lipstick,lea,neutral spiced rose,rose,https://www.sephora.com/productimages/sku/s2417624-main-zoom.jpg?imwidth=1000
lipstick,nars audacious lipstick vera,nars,audacious lipstick,vera,bright raspberry,raspberry,https://dy6g3i6a1660s.cloudfront.net/4uiWOGQ_W9HflevEvAr_9gINAg0/p_550x550.jpg
lipstick,nars explicit refillable satin lipstick 821 liason,nars,explicit refillable satin lipstick,821 liason,tan rose,tan rose,https://media.ulta.com/i/ulta/2628209_sm?w=1080&h=1080&fmt=auto
lipstick,nars full vinyl lip lacquer cape town,nars,full vinyl lip lacquer,cape town,metallic gold with pink shimmer,gold,https://www.sephora.com/productimages/sku/s2090025-main-zoom.jpg?imwidth=1224
lipstick,nars lipstick exbury,nars,lipstick,exbury,light pink rose,pink rose,https://www.sephora.com/productimages/sku/s2196376-main-zoom.jpg?imwidth=1000
lipstick,nars lipstick giusti,nars,lipstick,giusti,mauve nude pink,mauve nude pink,https://www.sephora.com/productimages/sku/s2196392-main-zoom.jpg?imwidth=1000
lipstick,nars lipstick pour toujours,nars,lipstick,pour toujours,warm pink,pink,https://www.narscosmetics.com/dw/image/v2/BBSK_PRD/on/demandware.static/-/Sites-itemmaster_NARS/default/dw6abc1496/shade/0607845029786.jpg?sw=856&sh=750&sm=fit
lipstick,nars powermatte lip pigment low rider,nars,powermatte lip pigment,low rider,bright peachy pink,peach pink,https://www.narscosmetics.com/dw/image/v2/BBSK_PRD/on/demandware.static/-/Sites-itemmaster_NARS/default/dw7f40dcdf/shade/0607845027676.jpg?sw=800&sh=800&sm=fit
lipstick,nars powermatte lip pigment somebody to love,nars,powermatte lip pigment,somebody to love,rose brown,rose brown,https://media.ulta.com/i/ulta/2529881_sm?w=1080&h=1080&fmt=auto
lipstick,nars powermatte lip pigment walk this way,nars,powermatte lip pigment,walk this way,rose pink,rose pink,https://www.sephora.com/productimages/sku/s1965532-av-04-zoom.jpg?imwidth=1224
